original,traducido
#Cleric Feats,#Talentos de Clerigo
Medium Armor Expert,Especialista em Armadura Media
Heavy Armor Expert,Especialista em Armadura Pesada
Body Magic Initiate,Iniciado em Magia Corporal
You may now cast Tier 1 spells of the Body School,Voce agora pode conjurar feiticos de Nivel 1 da Escola do Corpo
Body Magic Expert,Especialista em Magia Corporal
You may now cast Tier 2 spells of the Body School,Voce agora pode conjurar feiticos de Nivel 2 da Escola do Corpo
Body Magic Master,Mestre em Magia Corporal
You may now cast Tier 3 spells of the Body School,Voce agora pode conjurar feiticos de Nivel 3 da Escola do Corpo
Body Magic Grand Master,Grao-Mestre em Magia Corporal
You may now cast Tier 4 spells of the Body School,Voce agora pode conjurar feiticos de Nivel 4 da Escola do Corpo
Mind Magic Initiate,Iniciado em Magia Mental
You may now cast Tier 1 spells of the Mind School,Voce agora pode conjurar feiticos de Nivel 1 da Escola da Mente
Mind Magic Expert,Especialista em Magia Mental
You may now cast Tier 2 spells of the Mind School,Voce agora pode conjurar feiticos de Nivel 2 da Escola da Mente
Mind Magic Master,Mestre em Magia Mental
You may now cast Tier 3 spells of the Mind School,Voce agora pode conjurar feiticos de Nivel 3 da Escola da Mente
Mind Magic Grand Master,Grao-Mestre em Magia Mental
You may now cast Tier 4 spells of the Mind School,Voce agora pode conjurar feiticos de Nivel 4 da Escola da Mente
Religious Training,Treinamento Religioso
Resilience Initiate,Iniciado em Resiliencia
Resilience Expert,Especialista em Resiliencia
Divine Spellcasting,Lancamento de feiticos divinos
"You gain the ability to learn spells from the Mind, Body and Spirit School","Voce ganha a capacidade de aprender feiticos das Escolas de Mente, Corpo e Espirito"
Spirit Magic Initiate,Iniciado em Magia Espiritual
You may now cast Tier 1 spells of the Spirit School,Agora pode conjurar feiticos de Nivel 1 da Escola Espiritual
Spirit Magic Expert,Especialista em Magia Espiritual
You may now cast Tier 2 spells of the Spirit School,Agora pode conjurar feiticos de Nivel 2 da Escola Espiritual
Spirit Magic Master,Mestre em Magia Espiritual
You may now cast Tier 3 spells of the Spirit School,Agora pode conjurar feiticos de Nivel 3 da Escola Espiritual
Spirit Magic Grand Master,Grao-Mestre em Magia Espiritual
You may now cast Tier 4 spells of the Spirit School,Agora pode conjurar feiticos de Nivel 4 da Escola Espiritual
Faithful Initiate,Iniciado Fiel
Faithful Expert,Especialista Fiel
Faithful Master,Mestre Fiel
Faithful Grand Master,Grao-Mestre Fiel
Cleric Weapons Initate,Iniciado em Armas de Clerigo
Cleric Weapons Expert,Especialista em Armas de Clerigo
Cleric Weapons Master,Mestre em Armas de Clerigo
Cleric Weapons Grand Master,Grao-Mestre em Armas de Clerigo
#Magos Feats,Talentos de Magos
Air Magic Initiate,Iniciado em Magia do Ar
Air Magic Expert,Especialista em Magia do Ar
Air Magic Master,Mestre em Magia do Ar
Air Magic Grand Master,Grao-Mestre em Magia do Ar
Trickster Initiate,Iniciado em Trapaceiro
Trickster Expert,Especialista em Trapaceiro
Trickster Master,Mestre Trapaceiro
Arcane Font Initiate,Iniciado em Fonte Arcana
Arcane Font Expert,Especialista em Fonte Arcana
Arcane Font Master,Mestre em Fonte Arcana
Arcane Spellcasting,Lancamento de feiticos arcanos
Sorcerous Initiate,Iniciado em Feiticeiro
Sorcerous Expert,Especialista em Feiticeiro
Sorcerous Master,Mestre em Feiticeiro
Blade Initiate,Iniciado em Lamina
Earth Magic Initiate,Iniciado em Magia da Terra
Earth Magic Expert,Especialista em Magia da Terra
Earth Magic Master,Mestre em Magia da Terra
Earth Magic Grand Master,Grao-Mestre em Magia da Terra
Fire Magic Initiate,Iniciado em Magia de Fogo
Fire Magic Expert,Especialista em Magia de Fogo
Fire Magic Master,Mestre em Magia de Fogo
Fire Magic Grand Master,Grao-Mestre em Magia de Fogo
Light Weapons Initiate,Iniciado em Armas Leves
Light Weapons Expert,Especialista em Armas Leves
Touched by the Reticulum,Tocado pelo Reticulo
Ranged Weapons Initiate,Iniciado em Armas a Distancia
#NPC Feats,Dotes de NPC
Warrior,Guerreiro
#Rogue Feats,Talentos de Ladino
Bardic Magic Initiate,Iniciado em Magia Bardica
Bardic Magic Expert,Especialista em Magia Bardica
Bardic Magic Master,Mestre em Magia Bardica
Bardic Spellcasting,Lancamento de feiticos de bardo
Backstab Initiate,Iniciado em Ataque pelas Costas
Backstab Expert,Especialista em Ataque pelas Costas
Backstab Master,Mestre em Ataque pelas Costas
Backstab Grand Master,Grao-Mestre da Punhalada pela Traicao
Bard Initiate,Bardo Iniciante
Bard Expert,Bardo especialista
Bard Master,Mestre Bardo
Tradecraft,Oficios
Duelist Initiate,Duelista Iniciado
Duelist Expert,Duelista especialista
Duelist Master,Mestre duelista
Duelist Grand-Master,Grao-Mestre Duelista
Mobility Initiate,Mobilidade Iniciada
Mobility Expert,Especialista em mobilidade
Mobility Master,Mestre em Mobilidade
Rogue Blade Initiate,Iniciado em Lamina de ladino
Rogue Blade Expert,Especialista em laminas de ladino
Rogue Ranged Initiate,Iniciado a distancia ladino
Rogue Ranged Expert,Ladino especialista a distancia
Survivor Initiate,Sobrevivente Iniciado
Survivor Expert,Especialista em sobrevivencia
Survivor Master,Mestre sobrevivente
Thievery Initiate,Iniciado em roubo
Thievery Expert,Especialista em roubo
Thievery Master,Mestre em roubo
#Wanderer Feats,#Talentos do Andarilho
Nature Spellcasting,Lancamento de feiticos da natureza
You gain the ability to learn spells from the Nature School,Voce ganha a capacidade de aprender feiticos da Escola da Natureza
Nature Magic Initiate,Iniciado em Magia da Natureza
You may now cast Tier 1 spells of the Nature School,Agora pode conjurar feiticos de Nivel 1 da Escola da Natureza
Nature Magic Expert,Especialista em magia da natureza
You may now cast Tier 2 spells of the Nature School,Agora pode conjurar feiticos de Nivel 2 da Escola da Natureza
Nature Magic Master,Mestre de magia da natureza
You may now cast Tier 3 spells of the Nature School,Agora pode conjurar feiticos de Nivel 3 da Escola da Natureza
Nature Magic Grand Master,Grao-Mestre em Magia da Natureza
You may now cast Tier 4 spells of the Nature School,Agora pode conjurar feiticos de Nivel 4 da Escola da Natureza
#Warrior Feats,#Talentos de Guerreiro
Archery Initiate,Iniciado em Arquearia
Archery Expert,Especialista em Arquearia
Archery Master,Mestre em Arquearia
Arms Mastery,Maestria em Armas
Axe Initiate,Iniciado em Machado
Axe Expert,Especialista em Machado
Axe Master,Mestre em Machado
Bred for War,Criado para a Guerra
Tough as Nails,Duro como Rocha
Light Armor Mastery,Maestria em Armadura Leve
Medium Armor Mastery,Maestria em Armadura Media
Heavy Armor Mastery,Maestria em Armadura Pesada
Calloused Hands,Maos Calosas
Brutality,Brutalidade
Bloodthirsty,Sanguinario
Club Initiate,Iniciado em Tacape
Club Expert,Especialista em Tacape
Club Master,Mestre em Tacape
Leadership Initiate,Iniciado em Lideranca
Leadership Expert,Especialista em Lideranca
Leadership Master,Mestre em Lideranca
Leadership Grand-Master,Grao-Mestre em Lideranca
Ranger Initiate,Iniciado em Patrulheiro
Ranger Expert,Especialista em Patrulheiro
Ranger Master,Mestre em Patrulheiro
Shield Initiate,Iniciado em Escudo
Shield Expert,Especialista em Escudo
Shield Master,Mestre em Escudo
Sword Initiate,Iniciado em Espada
Sword Expert,Especialista em Espada
Sword Master,Mestre em Espada
Two-Handed Initiate,Iniciado em duas maos
Two-Handed Expert,Especialista em duas maos
Two-Handed Master,Mestre em duas maos
