original,translation
#Main Quests,#Missoes Principais
A Twilight Meeting,Um Encontro Crepuscular
I’ve been summoned to the estate of the lord Cato Berryn,Fui convocado a propriedade do lorde Cato Berryn
My father’s old patron,O antigo patrono de meu pai
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn","Embora eu tenha crescido aqui, nao volto ha decadas devido a forma infeliz como meu pai deixou o servico da Casa Berryn"
I do not know why Cato summons me now and I must venture to find out,Nao sei por que Cato me convoca agora e devo me aventurar para descobrir
The lord Berryn has tasked me to find his daughter,O lorde Berryn me encarregou de encontrar sua filha
"My childhood friend, Embal","Minha amiga de infancia, Embla"
Rescue Embla,Resgatar Embla
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra","O antigo patrono de meu pai, Lorde Cato Berryn, me encarregou de resgatar sua filha na ilha de Idra"
She was last seen in the city of Horryn and I must search for clues as to her fate,Ela foi vista pela ultima vez na cidade de Horryn e devo procurar pistas sobre o seu destino
I found Embla in the town of Horryn,Encontrei Embla na cidade de Horryn
Events have conspired however to make it impossible to return to the mainland,Contudo, os eventos conspiraram para tornar impossivel o retorno ao continente
Instead we must venture to end the madness that has engulfed the region,Em vez disso, devemos nos aventurar para acabar com a loucura que engoliu a regiao
This quest has failed,Esta missao fracassou
Refugees of Horryn,Refugiados de Horryn
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp","Marcus, o Camareiro, o lider de fato os refugiados, suplicou por minha ajuda para o acampamento"
Food is running low and he’s requested I talk to Frantzo,A comida esta acabando e ele pediu que eu fale com Frantzo
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,Tambem ha um surto de doenca no acampamento e devo falar com o clerigo Drahl sobre isso
Both can be found in the camp,Ambos podem ser encontrados no acampamento
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,Fiz o que pude pelo acampamento e os refugiados certamente ganharam uma chance de lutar
Mouths to Feed,Bocas para Alimentar
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees","Frantzo, o cozinheiro e intendente de fato do acampamento, precisa que eu encontre suprimentos de comida para los refugiados"
He needs a large supply of it and soon as people have begun dying from starvation,Ele precisa de uma grande quantidade e logo, pois as pessoas comecaram a morrer de fome
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,Forneci a Frantzo a comida necessaria para manter os refugiados alimentados no futuro proximo
Jakub's Goats,As Cabras de Jakub
Frantzo suggests looking into the farmer’s missing herd of goats,Frantzo sugere investigar o rebanho de cabras desaparecido do fazendeiro
He suspects the farmer hid them away to keep them from being eaten by starving refugees,Ele suspeita que o fazendeiro as escondeu para evitar que fossem comidas pelos refugiados famintos
Bring the Goats to Camp,Leve as Cabras para o Acampamento
I found Jakub's hidden goats up in a secluded mountain glen,Encontrei as cabras escondidas de Jakub em um vale isolado nas montanhas
Now I must bring the herd of goats to the refugee camp,Agora devo levar o rebanho de cabras para o acampamento de refugiados
If I don't get Jakub to agree first there may be consequences,Se eu nao fizer Jakub concordar primeiro, podera haver consequencias
Convince Jakub,Convencer Jakub
Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp,Tal vez eu deva falar com Jakub e ver se o convenco a me deixar levar as cabras de volta ao acampamento
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten","Jakub, o criador de cabras de Idra, recobrou o juizo e concordou em me deixar levar as cabras ao acampamento para servirem de alimento"
He asks that I go and help his son,Ele pede que eu va ajudar o seu filho
Return to Frantzo,Voltar para Frantzo
I must return to Frantzo and tell him that I've brought Jakub's goats to camp,Debo voltar ate Frantzo e dizer-lhe que trouxe as cabras de Jakub para o acampamento
Search for the Goats,Buscar pelas Cabras
I need to start by looking for a clue as to where the herd could be located,Preciso comecar procurando uma pista de onde o rebanho poderia estar localizado
An Alternate Supply,Um Suprimento Alternativo
Look for an alternate solution to the food-crisis in the refugee camp,Buscar uma solucao alternativa para a crise de alimentos no acampamento de refugiados
Sea's Bounty,A Generosidade do Mar
The quartermaster of the Weathermaiden has enough food-supplies to feed the refugee camp,O intendente do Weathermaiden tem suprimentos de comida suficientes para alimentar o acampamento de refugiados
The downside is it will cost me 500 pieces of gold,O lado ruim e que isso me custara 500 moedas de ouro
I’ve acquired the food-supplies needed to feed the refugees,Adquiri os suprimentos de comida necessarios para alimentar os refugiados
Now all that remains is to return to Frantzo and tell him the good news,Agora tudo o que resta e voltar ate Frantzo e contar-lhe a boa nova
Outbreak,Surto
"There is an outbreak in camp and the aged cleric, Drahl, has asked me to help him look for a cure","Ha um surto no acampamento e o velho clerigo, Drahl, pediu que eu o ajude a procurar uma cura"
He suggests I start by talking to Hannah,Ele sugere que eu comece falando com Hannah
The mother of a sick child who appears to have a suggestion for a cure,A mae de uma crianca doente que parece ter uma sugestao de cura
She can be found in a cottage south of camp,Ela pode ser encontrada em uma cabana ao sul do acampamento
I provided Drahl with a cure for the outbreak and it appears to be having the intended effect,Forneci a Drahl uma cura para o surto e parece estar surtindo o efeito desejado
A Mother's Love,O Amor de uma Mãe
A young mother in the refugee camp has pleeded with me to help save her child,Uma jovem mae no acampamento de refugiados me suplicou para ajudar a salvar seu filho
The boy's fallen ill and she begs me to seek out an old crone living in the forest in the islands interior,O menino adoeceu e ela me roga que procure uma velha bruxa que vive na floresta no interior da ilha
She would know how to help,Ela saberia como ajudar
"Though the old woman had gone insane, I was able to get medicine for the child","Embora a velha senhora estivesse louca, consegui o remedio para a crianca"
I was unable to get medicine for Hannah in time,Nao consegui o remedio para Hannah a tempo
Both mother and child passed,Tanto a mae quanto o filho faleceram
"Having gotten his medicine, Hannah's boy is looking better already","Tendo recebido o remedio, o menino de Hannah ja esta com uma aparencia melhor"
The Un-Born,O Não Nascido
Mother Katak will help with the outbreak in camp,A Mae Katak ajudara com o surto no acampamento
"To make medicine she has asked me to find ""the un-born of the scaled ones""",Para fazer o remedio, ela me pediu para encontrar ""o nao nascido dos escamosos""
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools""",Pelo visto eles habitam por perto: ""ao norte do grande carvalho e passando pelas pocas fetidas""
I recovered eggs from a pack of giant lizards and delivered them to the mad old hag,Recuperei ovos de um bando de lagartos gigantes e os entreguei a velha bruxa louca
You need to find 1 GiantLizardEgg,Voce precisa encontrar 1 Ovo de Lagarto Gigante
You found GiantLizardEgg!,Voce encontrou Ovo de Lagarto Gigante!
The Eternity Gate,O Portão da Eternidade
I find myself naked and alone in the darkness,Eu me encontro nu e sozinho na escuridao
I can only surmise I am inside the strange structure that we found underneath the Black Priory,So posso presumir que estou dentro da estranha estrutura que encontramos debaixo do Priorado Negro
Truly this is a place where no mortal foot was ever meant to tread,Verdadeiramente, este e um lugar onde nenhum pe mortal deveria pisar
I am undone,Estou acabado
Dust in an endless void,Poeira em um vazio infinito
This will be my final entry,Esta sera minha ultima anotacao
The Zephyr,O Zéfiro
"I need to investigate what is happening with ""The Zephyr","Preciso investigar o que esta acontecendo com ""O Zefiro"""
A mutiny had broken out as the crew refused to bring the ship closer to Idra,Um motim estourou quando a tripulacao se recusou a aproximar o navio de Idra
They claimed the island was cursed,Eles alegavam que a ilha estava amaldiçoada
"The zephyr was sunk by a terrible, un-namable creature of the deep","O Zefiro foi afundado por uma criatura das profundezas terrivel e innomeavel"
Plateau of Madness,Planalto da Loucura
The Cabal expedition landed at the mining-village of Adler’s Helm,A expedicao da Cabala desembarcou no vilarejo minerador de Elmo de Adler
I suspect we can find a way to ascend to the interior plateau on Gradla if we follow their trail to Adler's Helm and beyond,Suspeito que podemos encontrar uma maneira de subir ao planalto interior em Gradla se seguirmos a trilha deles ate o Elmo de Adler e alem
"Following the ancient stairs discovered by the miners of Adler’s Helm, we have reached the interior plateau","Seguindo as antigas escadarias descobertas pelos mineradores do Elmo de Adler, alcancamos o planalto interior"
The Priory lies within reach,O Priorado esta ao nosso alcance
Retaking Horryn,Retomada de Horryn
"To retake Horryn, we must kill the three Reaver chiefs that occupy the city","Para retomar Horryn, devemos matar os tres chefes Saqueadores que ocupam a cidade"
"The three are know as Oleg the Gray, Queen Kala and the Butcher","Os tres sao conhecidos como Oleg, o Cinzento, Rainha Kala e o Acougueiro"
Iben cautions that the threesome is fierce and that we might use cunning and use their infighting to our advantage,Iben alerta que o trio e feroz e que poderiamos usar de astucia e aproveitar as desavencas internas deles em nossa vantagem
Oleg the Gray,Oleg, o Cinzento
Dead Queen Kala,Rainha Kala Morta
Dead The Butcher,O Acougueiro Morto
Dead,Morto
Alive,Vivo
Alive The Butcher,O Acougueiro Vivo
Alive Queen Kala,Rainha Kala Viva
We have retaken the outer city,Retomamos a cidade exterior
Storming the Keep,Assalto a Fortaleza
"Though we have liberated the outer city, Horryn’s keep remains in the possession of the Reavers","Embora tenhamos libertado a cidade exterior, a fortaleza de Horryn continua em posse dos Saqueadores"
The keep is well protected from a frontal assault so we need to look for an alternate entrance,A fortaleza esta bem protegida contra um assalto frontal, entao precisamos procurar uma entrada alternativa
I successfully infiltrated the keep and slew the foul creature known as “Father,"Infiltrei-me com sucesso na fortaleza e matei a criatura imunda conhecida como ""Pai"""
The Secret Tunnel,O Tunel Secreto
Hierophant Drahl believes a secret tunnel exists that connects the keep to the crypts underneath the temple,O Hierofante Drahl acredita que existe um tunel secreto que conecta a fortaleza as criptas embaixo do templo
The sacred crypts of the Sepulchites can be accessed from within the temple,As criptas sagradas dos Sepulquitas podem ser acessadas de dentro do templo
"Drahl suspects that if a secret tunnel does indeed exist, it probably lies in the deeper sections of the crypts","Drahl suspeita que, se um tunel secreto de fato existir, ele provavelmente fica nas secoes mais profundas das criptas"
"Though the crypt was overrun by foul undead creatures, we did indeed find the secret tunnel","Embora a cripta estivesse infestada por criaturas mortas-vivas imundas, nos de fato encontramos o tunel secreto"
Talk to Drahl,Falar com Drahl
"According to Markus, Hierophant Drahl might know of a secret entrance into the keep","De acordo com Markus, o Hierofante Drahl pode saber de uma entrada secreta para a fortaleza"
The Hierophant can be found in front of the newly liberated temple,O Hierofante pode ser encontrado em frente ao templo recem-libertado
I met and talked to the Hierophant,Conheci e conversei com o Hierofante
Talk to Markus,Falar com Markus
I’ve been told to meet Markus the Chamberlain at the inn that lies west of the city square in Horryn,Fui instruido a me encontrar com Markus, o Camareiro, na estalagem que fica a oeste da praca da cidade em Horryn
I suspect he has an idea about how to pierce the keep's defences,Suspeito que ele tenha uma ideia de como perfurar as defesas da fortaleza
I found and talked to Markus,Encontrei e conversei com Markus
Untold Eons,Eons Incontaveis
"We’ve penetrated the dungeons that lay beneath the Black Priory and entered into the black, timeless realms beyond","Penetramos nas masmorras que ficavam sob o Priorado Negro e entramos nos reinos sombrios e atemporais alem"
Now it remains to be seen what untold secrets have lain hidden for so long,Agora resta saber quais segredos incontaveis estiveram escondidos por tanto tempo
We found what the Cabal was excavating underneath the Priory,Encontramos o que a Cabala estava escavando sob o Priorado
By the Golden how I wish we had let it lie in peace,Pelo Dourado, como eu gostaria que tivessemos deixado isso em paz
I fear there is no salvation for us now,Temo que nao haja salvacao para nos agora
The Priory Opens,O Priorado se Abre
We’ve entered the Black Priory,Entramos no Priorado Negro
"Whatever secrets the Cabal expedition found here, I suspect they lay beneath the priory","Quaisquer que sejam os segredos que a expedicao da Cabala encontrou aqui, suspeito que fiquem sob o priorado"
We must find a way to enter the dungeon below,Devemos encontrar uma maneira de entrar na masmorra abaixo
We have breached the lower level of the priory,Violamos o nivel inferior do priorato
To Sleep and Dream,Dormir e Sonhar
The secrets of the Priory are within reach,Os segredos do Priorato estao ao nosso alcance
We must navigate the catacombs and reach the great secret that lies at its heart,Devemos navegar pelas catacumbas e alcancar o grande segredo que jaz em seu coracao
May the Dead save us,Que os Mortos nos salvem
The secrets of this place are far deeper and more ancient than any of us could have guessed,Os segredos deste lugar sao muito mais profundos e antigos do que qualquer um de nos poderia imaginar
We descend now into a darkness from which I fear we’ll never re-emerge,Descemos agora em uma escuridao da qual temo que nunca mais voltaremos a sair
Upon Black Seas,Sobre Mares Negros
I rescued Embla but we find that there is no way to return to the main-land whilst the Outer Isles is engulfed in this madness,Resgatei Embla, mas descobrimos que nao ha como voltar ao continente enquanto as Ilhas Exteriores estiverem envoltas nesta loucura
Embla is convinced the calamity is somehow caused by the discovery of an ancient site known as “The Black Priory” on the island of Gradla,Embla esta convencida de que a calamidade e causada de alguma forma pela descoberta de um sitio antigo conhecido como ""O Priorado Negro"" na ilha de Gradla
Gradla is located to the north of Idra and we must find a ship and crew willing to take us there,Gradla fica ao norte de Idra e precisamos encontrar um navio e uma tripulacao dispostos a nos levar ate la
Gradla is within sight,Gradla esta a vista
Now we must make landfall and seek a way to reach the inland plateau,Agora precisamos desembarcar e buscar uma maneira de alcancar o planalto interior
#Side Quests,#Missoes Secundarias
The Boar's Medicine,O Remedio do Javali
Kydeon asked me fetch a bottle of brandy from the wine cellar under the kitchen after I talk to Lyra,Kydeon pediu para eu buscar uma garrafa de brandy na adega sob a cozinha depois que eu falasse com Lyra
The old boar will sleep soundly tonight,O velho javali dormira profundamente esta noite
M' damn knees are acting up again,Minhas malditas voltaram a incomodar
Can't hardly sleep on account of the aches,Mal consigo dormir por causa das dores
"Let me tell you, I'd take an arrow in the leg any day","Deixe-me dizer, eu preferiria levar uma flecha na perna a qualquer momento"
"If you're going over to the kitchen later for a bit of grub, a bottle of brandy from the wine-cellar would make me a happy man!","Se voce for ate a cozinha mais tarde para comer algo, uma garrafa de brandy da adega me deixaria um homem feliz!"
Kydeon shifts as if to emphasize his stiff knees,Kydeon se mexe como que para enfatizar seus joelhos rigidos
Ha!,Ha!
That's some fine foraging young whelp!,Isso e que e uma boa busca por mantimentos, jovem filhote!
"Before you can get a word in, Kydeon snatches the bottle, uncorks it and drinks deeply","Antes que voce consiga dizer uma palavra, Kydeon toma a garrafa, tira a rolha e bebe um grande gole"
"The old man, eyes closed in relief, lets out a deep sigh","O velho, de olhos fechados em alivio, solta um longo suspiro"
May your sleep be dreamless,Que o seu sono seja sem sonhos
he speaks as if to himself,ele fala como se fosse para si mesmo
The Cellar,A Adega
Look for your father in the cellar under the kitchen,Procure por seu pai na adega sob a cozinha
You found your father,Voce encontrou seu pai
The Beast in the Hearth,A Fera na Lareira
Lyra has betted with me to see if I can sneak into the hearth of the villa and confront the 'beast' that hides there,Lyra apostou comigo para ver se consigo me esgueirar pela lareira da vila e confrontar a 'fera' que se esconde la
I won our wager and snuk into the hearth,Ganhei a nossa aposta e me esgueirei pela lareira
There I met a mercenary by the name or Roland Greyeye,La conheci um mercenario chamado Roland Greyeye
I failed to sneak into the hearth,Nao consegui me esgueirar pela lareira
Exploring the Grounds,Explorar o Terreno
"While I wait for the Lord Berryn to become available, I should look for some food and perhaps walk the gardens and hedge maze before I check back in with Lyra again","Enquanto espero que o Lorde Berryn fique disponivel, devo procurar algo para comer e talvez caminhar pelos jardins e pelo labirinto de sebes antes de falar com Lyra novamente"
The lord of House Berryn is ready for me now,O lorde da Casa Berryn esta pronto para mim agora
An Evening Meal,Uma Refeicao Noturna
I have been ordered to go procure a meal for myself from the kitchen as there is no saying how long I will be waiting,Fui instruido a conseguir algo para comer na cozinha, pois nao se sabe quanto tempo irei esperar
I should talk to the chef,Devo falar com o chef
Chef Armand taught me to make his famous melted cheese sandwiches,O chef Armand me ensinou a fazer seus famosos sanduiches de queijo derretido
"Surely, old Magda cries in the tomb at what her kitchen has come to","Certamente, a velha Magda chora no tumulo pelo que sua cozinha se tornou"
Chef Armand has offered to teach me how to make his famous cheese sandwich,O chef Armand se ofereceu para me ensinar a fazer seu famoso sanduiche de queijo
For starters I have to fetch cheddar cheese and cured ham from the cellar under the kitchen,Para comecar, tenho que buscar queijo cheddar e presunto curado na adega sob a cozinha
My suggestion is thusly,Minha sugestao e a seguinte
"Whilst I stoke the fire, you run down in the pantry and fetch some cured ham and cheddar cheese","Enquanto eu acendo o fogo, voce corre ate a despensa e busca um pouco de presunto curado e queijo cheddar"
I will then teach you how to cook my renowned melted cheese sandwich and you shall never want for an evening meal for as long as you live!,Entao eu lhe ensinarei a cozinhar meu famoso sanduiche de queijo derretido e voce nunca mais ficara sem uma refeicao noturna enquanto viver!
The Hedge Maze,O Labirinto de Sebes
Lyra suggests I should explore the hedge-maze in the villa grounds while I wait for master Cato to become ready,Lyra sugere que eu explore o labirinto de sebes nos terrenos da vila enquanto espero o mestre Cato ficar pronto
"You managed to find ""Embla"" in the maze",Voce conseguiu encontrar ""Embla"" no labirinto
A Deeper Dark,Uma Escuridao Mais Profunda
One of the lighthouse keepers went mad and killed himself after dreaming of a strange blade buried deep within the caves below the lighthouse,Um dos guardas do farol enlouqueceu e se matou apos sonhar com uma lamina estranha enterrada profundamente nas cavernas sob o farol
Perhaps that artifact should be recovered for safe-keeping... or use,Talvez esse artefato deva ser recuperado para protecao... ou uso
The entrance to the caves is under the broken bridge,A entrada para as cavernas fica sob a ponte quebrada
"I recovered a strange dagger from some sort of ancient, pre-Imperial, ritual chamber in the caves beneath the lighthouse",Recuperei uma adaga estranha de uma especie de antiga camara ritual pre-imperial nas cavernas sob o farol
Find Froggert!,Encontre Froggert!
"Marsa, a young girl in the Idran camp, has lost her stuffed animal 'Froggert'","Marsa, uma jovem no acampamento de Idra, perdeu seu animal de pelucia 'Froggert'"
Getting it back for her might be a small act of kindness in a sea of horrors,Recupera-lo para ela pode ser um pequeno ato de bondade em um mar de horrores
The wayward reptile has been recovered,O reptil perdido foi recuperado
Marsa was overjoyed,Marsa ficou radiante
It felt good to help,Foi bom ajudar
Lost Sailors,Marinheiros Perdidos
I met a small group of surviving sailors from the Zephyr camped near the wreck,Encontrei um pequeno grupo de marinheiros sobreviventes do Zefiro acampados perto dos destrocos
"Their de-facto leader, Snow, has asked that I send any survivors I find his way","O lider de fato deles, Snow, pediu que eu envie quaisquer sobreviventes que encontrar no caminho dele"
There should be at least 3 out there,Deve haver pelo menos 3 por ai
Found so far,Encontrados ate agora
I sent those I could find to Snow’s camp,Enviei os que consegui encontrar para o acampamento de Snow
"Though the group is still small, they certainly stand a better chance together than alone","Embora o grupo ainda seja pequeno, eles certamente tem uma chance melhor juntos do que sozinhos"
Sealed Away,Selado
"Kat from the Zephyr, suggests we should look to see if the captain’s seal survived the sinking","Kat, do Zefiro, sugere que deveriamos verificar se o selo do capitao sobreviveu ao naufragio"
"Though the captain died on the Zephyr, one of the other crew-members might have managed to bring it ashore","Embora o capitao tenha morrido no Zefiro, um dos outros membros da tripulacao pode ter conseguido traze-lo para a praia"
Kat suggests we start by examining a cave to the west,Kat sugere comecarmos examinando uma caverna a oeste
